Publisher Name,Publisher Registry Id,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,Frequency
ADD International (Action on Disability and Development),addinternational,1,2,0,0,0,0,0,0,0,0,1,0,Quarterly
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
Able Child Africa,ablechildafrica,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Access to Medicine Foundation,atmf,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
ActionAid UK,aauk,1,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Afghanaid,afghanaid,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
African Development Bank,afdb,0,1,1,1,0,0,0,0,0,0,1,0,Quarterly
Agence Française de Développement,afd,2,0,1,2,0,0,0,0,0,0,1,0,Quarterly
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,0,0,1,1,0,0,0,0,0,0,1,0,Quarterly
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,1,1,0,0,0,0,0,0,0,0,1,0,Quarterly
Asian Development Bank,asdb,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
Belgian Development Cooperation,be-dgd,0,0,1,1,0,0,0,0,0,0,1,0,Quarterly
Both ENDS,bothends,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
British Red Cross,gb-chc-220949,0,0,1,1,0,0,0,0,0,0,1,0,Quarterly
CARE International UK,ciuk,0,1,0,2,0,0,0,0,0,0,1,0,Quarterly
CISU,cisu,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Camfed International,camfed,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,8,7,5,10,0,0,0,0,0,0,1,0,Quarterly
